,GeAuthored,SpAuthored
wiglesworth,2,9
wilkes,0,3
willard,0,5
williams jg,0,1
williams md,0,1
willis,0,1
wilson a,0,24
wilson fe,0,1
wilson sb,2,11
wingate,0,2
winger,0,1
wink,0,1
witherby,0,4
wolf,0,1
wolters,5,1
wood ct,1,0
woodhouse,0,3
worcester,0,11
worthy,0,1
woxvold,0,1
wyatt,0,1
württemberg,0,1
xántus,0,5
yamashina,1,6
yen,0,1
young,0,1
yzurieta,0,2
zarudny,1,2
zedlitz,0,1
zewdie,0,1
zimmer jt,1,32
zimmer kj,0,1
zotta,0,1
zu,5,53
zuccon,1,0
álvarez,0,4
érard,0,1
